date,temperature_2m,relative_humidity_2m,apparent_temperature,precipitation,rain,showers,snowfall,pressure_msl,surface_pressure,cloud_cover,wind_speed_10m,wind_direction_10m,wind_gusts_10m,is_day,year,month,day,hour,cluster
31-10-2024,11.141,88,10.376408,0,0,0,0,1025.6,1024.4915,78,3.8773184,248.19853,7.5599995,0,2024,10,31,19,1
31-10-2024,10.941,90,10.199422,0,0,0,0,1025.7,1024.5906,79,3.9763298,264.80566,7.5599995,0,2024,10,31,20,1
31-10-2024,10.540999,91,9.89294,0,0,0,0,1025.3,1024.1895,63,2.9024127,262.8751,7.92,0,2024,10,31,21,1
31-10-2024,10.240999,91,9.419403,0,0,0,0,1025.3,1024.1882,49,3.5455887,293.9625,6.12,0,2024,10,31,22,1
31-10-2024,9.740999,92,8.915657,0,0,0,0,1025.3,1024.1863,65,2.968636,255.96373,6.4799995,0,2024,10,31,23,1
2024-11-13,7.25,93.0,5.291111946105957,0.0,0.0,0.0,0.0,1032.5,1032.1226806640625,95.0,6.8777899742126465,263.9910888671875,14.399999618530273,0.0,2024,11,13,23,1
2024-11-13,7.150000095367432,93.0,5.225196838378906,0.0,0.0,0.0,0.0,1032.5999755859375,1032.2225341796875,95.0,6.489992141723633,266.8202209472656,14.399999618530273,0.0,2024,11,13,23,1
2024-11-14,7.150000095367432,95.0,5.295555114746094,0.0,0.0,0.0,0.0,1032.5,1032.1226806640625,97.0,6.489992141723633,273.1797790527344,14.75999927520752,0.0,2024,11,14,0,1
2024-11-14,7.25,97.0,5.47776985168457,0.0,0.0,0.0,0.0,1032.0,1031.622802734375,100.0,6.569382667541504,279.4622497558594,16.559999465942383,0.0,2024,11,14,1,1
2024-11-14,7.449999809265137,97.0,5.732288360595703,0.0,0.0,0.0,0.0,1031.9000244140625,1031.5230712890625,100.0,6.519876956939697,276.340087890625,14.75999927520752,0.0,2024,11,14,2,1
2024-11-14,7.75,97.0,6.405736923217773,0.20000000298023224,0.20000000298023224,0.0,0.0,1031.5999755859375,1031.2235107421875,100.0,4.452953815460205,284.0362548828125,14.039999961853027,0.0,2024,11,14,3,0
2024-11-14,8.100000381469727,97.0,6.903839111328125,0.10000000149011612,0.10000000149011612,0.0,0.0,1031.5,1031.124267578125,100.0,4.0249223709106445,296.5649719238281,9.720000267028809,0.0,2024,11,14,4,0
2024-11-14,8.25,97.0,7.063582420349121,0.0,0.0,0.0,0.0,1030.9000244140625,1030.5245361328125,100.0,4.213691711425781,289.9831848144531,10.079999923706055,0.0,2024,11,14,5,0
2024-11-14,8.5,97.0,7.432865142822266,0.0,0.0,0.0,0.0,1030.9000244140625,1030.525146484375,100.0,3.826852560043335,318.81414794921875,9.0,0.0,2024,11,14,6,0
2024-11-14,8.75,95.0,7.585466384887695,0.0,0.0,0.0,0.0,1031.4000244140625,1031.0252685546875,97.0,4.394360065460205,325.0079040527344,9.720000267028809,0.0,2024,11,14,7,4
2024-11-14,8.100000381469727,96.0,6.885398864746094,0.0,0.0,0.0,0.0,1031.5,1031.124267578125,100.0,3.8939952850341797,326.3099060058594,9.359999656677246,1.0,2024,11,14,8,0
2024-11-14,8.449999809265137,93.0,7.142370223999023,0.0,0.0,0.0,0.0,1031.699951171875,1031.324462890625,94.0,4.33497428894043,318.3665466308594,9.0,1.0,2024,11,14,9,0
2024-11-14,9.399999618530273,92.0,7.98996639251709,0.0,0.0,0.0,0.0,1031.9000244140625,1031.5257568359375,89.0,6.379216194152832,343.6103820800781,14.039999961853027,1.0,2024,11,14,10,4
2024-11-14,10.0,91.0,8.524932861328125,0.0,0.0,0.0,0.0,1031.699951171875,1031.32666015625,100.0,7.594207286834717,354.55975341796875,25.19999885559082,1.0,2024,11,14,11,4
